pt1 pt2   xsec   stat(%) syst(%)
 20 22   1.63E+00   1.6   5.8 
 22 25   9.19E-01   2.1   5.4 
 25 28   5.10E-01   2.8   6.8 
 28 30   3.45E-01   3.3   6.8 
 30 35   1.80E-01   3.3   11 
 35 40   8.46E-02   4.7   12 
 40 55   2.81E-02   4.8   12 
 55 75   4.97E-03   11   16 
 75 100   1.08E-03   6.6   20 
100 130   2.85E-04   24   20 
