pt1 pt2   xsec   stat(%) syst(%)
 20 22   5.62E+00   0.9   7.3 
 22 24   3.68E+00   1.1   6.3 
 24 26   2.47E+00   1.3   5.6 
 26 28   1.73E+00   1.5   4.9 
 28 30   1.20E+00   1.8   4.9 
 30 32   8.55E-01   2.1   5.1 
 32 34   6.36E-01   2.4   4.8 
 34 36   4.72E-01   2.8   5.3 
 36 38   3.32E-01   3.4   5.8 
 38 40   2.51E-01   3.9   6.0 
 40 43   2.04E-01   3.5   4.8 
 43 46   1.28E-01   4.3   4.9 
 46 50   8.07E-02   4.6   4.6 
 50 55   5.16E-02   5.2   4.7 
 55 60   3.33E-02   6.5   4.8 
 60 70   1.62E-02   6.8   5.1 
 70 100   4.32E-03   7.7   4.7 
100 130   6.48E-04   20   4.7 
