pt1 pt2   xsec   stat(%) syst(%)
20 22   2.38E+00   1.4   6.4 
 22 24   1.57E+00   1.7   6.8 
 24 26   1.16E+00   1.9   5.8 
 26 28   7.89E-01   2.3   5.6 
 28 30   5.45E-01   2.7   5.5 
 30 32   4.14E-01   3.1   6.3 
 32 34   3.18E-01   3.6   5.5 
 34 36   2.41E-01   4.1   6.0 
 36 38   1.57E-01   5.0   5.6 
 38 40   1.26E-01   5.7   5.6 
 40 43   9.89E-02   5.0   5.1 
 43 46   6.19E-02   6.4   4.7 
 46 50   3.93E-02   6.9   5.0 
 50 55   2.68E-02   7.3   4.9 
 55 60   1.88E-02   8.6   5.1 
 60 70   9.96E-03   8.8   5.5 
 70 100   2.08E-03   12   5.9 
100 130   5.79E-04   35   6.0 
