# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 01:41:46 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(meson->lepton) = 0.1086
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  36.5000 1.1302e+02 9.9757e+01 1.2719e+02 1.0003e+02 1.2694e+02 1.1186e+02 1.1408e+02 1.1060e+02 1.1545e+02
  37.5000 9.8957e+01 8.7491e+01 1.1124e+02 8.7728e+01 1.1102e+02 9.7945e+01 9.9937e+01 9.6869e+01 1.0104e+02
  38.5000 8.6938e+01 7.6924e+01 9.7539e+01 7.7133e+01 9.7344e+01 8.6063e+01 8.7813e+01 8.5103e+01 8.8762e+01
  39.5000 7.6585e+01 6.7861e+01 8.5794e+01 6.8045e+01 8.5620e+01 7.5857e+01 7.7344e+01 7.4961e+01 7.8198e+01
  40.5000 6.7665e+01 6.0029e+01 7.5717e+01 6.0190e+01 7.5562e+01 6.7054e+01 6.8308e+01 6.6231e+01 6.9099e+01
  41.5000 5.9979e+01 5.3277e+01 6.6988e+01 5.3422e+01 6.6853e+01 5.9421e+01 6.0496e+01 5.8714e+01 6.1244e+01
  42.5000 5.3295e+01 4.7345e+01 5.9443e+01 4.7475e+01 5.9326e+01 5.2789e+01 5.3696e+01 5.2167e+01 5.4423e+01
  43.5000 4.7422e+01 4.2203e+01 5.2847e+01 4.2320e+01 5.2736e+01 4.7001e+01 4.7823e+01 4.6410e+01 4.8435e+01
  44.5000 4.2320e+01 3.7706e+01 4.7092e+01 3.7807e+01 4.6990e+01 4.1919e+01 4.2689e+01 4.1445e+01 4.3226e+01
  45.5000 3.7828e+01 3.3730e+01 4.2064e+01 3.3822e+01 4.1972e+01 3.7512e+01 3.8166e+01 3.7027e+01 3.8640e+01
  46.5000 3.3906e+01 3.0249e+01 3.7644e+01 3.0332e+01 3.7565e+01 3.3611e+01 3.4170e+01 3.3190e+01 3.4623e+01
