# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 02:46:03 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton from B->D->l. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D->l) = 0.096
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  36.5000 1.1386e+01 1.0156e+01 1.2630e+01 1.0186e+01 1.2605e+01 1.1290e+01 1.1482e+01 1.1136e+01 1.1616e+01
  37.5000 9.9168e+00 8.8691e+00 1.1007e+01 8.8915e+00 1.0982e+01 9.8400e+00 1.0003e+01 9.7152e+00 1.0128e+01
  38.5000 8.6774e+00 7.7584e+00 9.6053e+00 7.7818e+00 9.5856e+00 8.6026e+00 8.7475e+00 8.4854e+00 8.8541e+00
  39.5000 7.6032e+00 6.8071e+00 8.4148e+00 6.8246e+00 8.3962e+00 7.5446e+00 7.6656e+00 7.4477e+00 7.7645e+00
  40.5000 6.6864e+00 5.9913e+00 7.3960e+00 6.0077e+00 7.3786e+00 6.6355e+00 6.7450e+00 6.5453e+00 6.8314e+00
  41.5000 5.9002e+00 5.2895e+00 6.5133e+00 5.3050e+00 6.4992e+00 5.8512e+00 5.9443e+00 5.7725e+00 6.0230e+00
  42.5000 5.2147e+00 4.6816e+00 5.7576e+00 4.6944e+00 5.7437e+00 5.1734e+00 5.2598e+00 5.1062e+00 5.3280e+00
  43.5000 4.6224e+00 4.1512e+00 5.0960e+00 4.1626e+00 5.0842e+00 4.5850e+00 4.6579e+00 4.5264e+00 4.7213e+00
  44.5000 4.1078e+00 3.6909e+00 4.5235e+00 3.7018e+00 4.5130e+00 4.0742e+00 4.1395e+00 4.0195e+00 4.1952e+00
  45.5000 3.6576e+00 3.2898e+00 4.0270e+00 3.2995e+00 4.0176e+00 3.6278e+00 3.6864e+00 3.5789e+00 3.7354e+00
  46.5000 3.2640e+00 2.9380e+00 3.5901e+00 2.9462e+00 3.5818e+00 3.2381e+00 3.2890e+00 3.1958e+00 3.3331e+00
  47.5000 2.9184e+00 2.6278e+00 3.2076e+00 2.6352e+00 3.1997e+00 2.8963e+00 2.9405e+00 2.8570e+00 2.9818e+00
  48.5000 2.6160e+00 2.3578e+00 2.8725e+00 2.3645e+00 2.8656e+00 2.5958e+00 2.6362e+00 2.5613e+00 2.6717e+00
  49.5000 2.3491e+00 2.1186e+00 2.5779e+00 2.1245e+00 2.5718e+00 2.3318e+00 2.3654e+00 2.3002e+00 2.3990e+00
  50.5000 2.1139e+00 1.9055e+00 2.3191e+00 1.9114e+00 2.3136e+00 2.0976e+00 2.1283e+00 2.0678e+00 2.1590e+00
  51.5000 1.9037e+00 1.7184e+00 2.0877e+00 1.7232e+00 2.0822e+00 1.8922e+00 1.9181e+00 1.8634e+00 1.9459e+00
  52.5000 1.7203e+00 1.5536e+00 1.8849e+00 1.5581e+00 1.8806e+00 1.7078e+00 1.7318e+00 1.6838e+00 1.7558e+00
  53.5000 1.5552e+00 1.4044e+00 1.7023e+00 1.4083e+00 1.6982e+00 1.5446e+00 1.5658e+00 1.5226e+00 1.5878e+00
  54.5000 1.4093e+00 1.2719e+00 1.5405e+00 1.2758e+00 1.5370e+00 1.3987e+00 1.4179e+00 1.3786e+00 1.4381e+00
