# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 04:28:20 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = lepton (meson = 0.7 D0 + 0.3 D+). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# BR(meson->lepton) = 0.103
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  36.5000 4.0644e+01 3.5860e+01 4.5504e+01 3.6287e+01 4.4846e+01 3.9603e+01 4.2415e+01 3.8965e+01 4.2323e+01
  37.5000 3.5432e+01 3.1263e+01 3.9645e+01 3.1652e+01 3.9068e+01 3.4505e+01 3.6987e+01 3.3938e+01 3.6884e+01
  38.5000 3.0982e+01 2.7353e+01 3.4618e+01 2.7697e+01 3.4103e+01 3.0169e+01 3.2342e+01 2.9674e+01 3.2260e+01
  39.5000 2.7151e+01 2.4016e+01 3.0339e+01 2.4308e+01 2.9880e+01 2.6471e+01 2.8356e+01 2.6018e+01 2.8273e+01
  40.5000 2.3896e+01 2.1125e+01 2.6657e+01 2.1393e+01 2.6255e+01 2.3268e+01 2.4926e+01 2.2887e+01 2.4895e+01
  41.5000 2.1053e+01 1.8659e+01 2.3505e+01 1.8890e+01 2.3134e+01 2.0518e+01 2.2001e+01 2.0178e+01 2.1939e+01
  42.5000 1.8622e+01 1.6512e+01 2.0783e+01 1.6717e+01 2.0456e+01 1.8149e+01 1.9457e+01 1.7850e+01 1.9405e+01
  43.5000 1.6521e+01 1.4648e+01 1.8408e+01 1.4832e+01 1.8118e+01 1.6099e+01 1.7253e+01 1.5831e+01 1.7211e+01
  44.5000 1.4688e+01 1.3039e+01 1.6355e+01 1.3205e+01 1.6099e+01 1.4317e+01 1.5326e+01 1.4070e+01 1.5306e+01
  45.5000 1.3081e+01 1.1628e+01 1.4559e+01 1.1773e+01 1.4327e+01 1.2762e+01 1.3658e+01 1.2535e+01 1.3627e+01
  46.5000 1.1680e+01 1.0378e+01 1.2989e+01 1.0506e+01 1.2782e+01 1.1392e+01 1.2185e+01 1.1196e+01 1.2175e+01
  47.5000 1.0454e+01 9.2942e+00 1.1620e+01 9.4121e+00 1.1433e+01 1.0197e+01 1.0908e+01 1.0015e+01 1.0897e+01
  48.5000 9.3751e+00 8.3392e+00 1.0420e+01 8.4450e+00 1.0251e+01 9.1464e+00 9.7860e+00 8.9806e+00 9.7706e+00
  49.5000 8.4223e+00 7.4960e+00 9.3573e+00 7.5911e+00 9.2041e+00 8.2184e+00 8.7921e+00 8.0680e+00 8.7777e+00
  50.5000 7.5808e+00 6.7497e+00 8.4172e+00 6.8361e+00 8.2781e+00 7.3975e+00 7.9145e+00 7.2605e+00 7.9001e+00
  51.5000 6.8371e+00 6.0907e+00 7.5893e+00 6.1687e+00 7.4634e+00 6.6723e+00 7.1379e+00 6.5487e+00 7.1255e+00
  52.5000 6.1759e+00 5.5038e+00 6.8557e+00 5.5744e+00 6.7393e+00 6.0276e+00 6.4530e+00 5.9153e+00 6.4365e+00
  53.5000 5.5898e+00 4.9828e+00 6.1981e+00 5.0470e+00 6.0935e+00 5.4549e+00 5.8380e+00 5.3539e+00 5.8236e+00
  54.5000 5.0655e+00 4.5193e+00 5.6161e+00 4.5773e+00 5.5208e+00 4.9450e+00 5.2890e+00 4.8523e+00 5.2798e+00
  55.5000 4.6000e+00 4.1049e+00 5.0963e+00 4.1581e+00 5.0099e+00 4.4908e+00 4.8019e+00 4.4053e+00 4.7936e+00
  56.5000 4.1818e+00 3.7345e+00 4.6335e+00 3.7822e+00 4.5536e+00 4.0850e+00 4.3672e+00 4.0057e+00 4.3590e+00
  57.5000 3.8079e+00 3.4018e+00 4.2209e+00 3.4453e+00 4.1478e+00 3.7204e+00 3.9779e+00 3.6472e+00 3.9696e+00
  58.5000 3.4762e+00 3.1032e+00 3.8463e+00 3.1436e+00 3.7801e+00 3.3939e+00 3.6287e+00 3.3290e+00 3.6225e+00
  59.5000 3.1745e+00 2.8354e+00 3.5113e+00 2.8727e+00 3.4495e+00 3.0993e+00 3.3156e+00 3.0395e+00 3.3084e+00
  60.5000 2.9005e+00 2.5941e+00 3.2100e+00 2.6275e+00 3.1528e+00 2.8346e+00 3.0313e+00 2.7779e+00 3.0231e+00
  61.5000 2.6564e+00 2.3763e+00 2.9386e+00 2.4071e+00 2.8861e+00 2.5956e+00 2.7759e+00 2.5441e+00 2.7686e+00
  62.5000 2.4349e+00 2.1790e+00 2.6927e+00 2.2073e+00 2.6450e+00 2.3793e+00 2.5431e+00 2.3319e+00 2.5379e+00
  63.5000 2.2351e+00 2.0010e+00 2.4719e+00 2.0270e+00 2.4277e+00 2.1846e+00 2.3350e+00 2.1403e+00 2.3299e+00
  64.5000 2.0538e+00 1.8395e+00 2.2721e+00 1.8633e+00 2.2310e+00 2.0075e+00 2.1465e+00 1.9673e+00 2.1414e+00
  65.5000 1.8901e+00 1.6928e+00 2.0894e+00 1.7149e+00 2.0518e+00 1.8478e+00 1.9745e+00 1.8097e+00 1.9704e+00
  66.5000 1.7407e+00 1.5596e+00 1.9249e+00 1.5800e+00 1.8901e+00 1.7005e+00 1.8190e+00 1.6676e+00 1.8149e+00
  67.5000 1.6058e+00 1.4375e+00 1.7740e+00 1.4564e+00 1.7428e+00 1.5687e+00 1.6768e+00 1.5378e+00 1.6727e+00
  68.5000 1.4822e+00 1.3268e+00 1.6369e+00 1.3441e+00 1.6078e+00 1.4482e+00 1.5481e+00 1.4193e+00 1.5440e+00
  69.5000 1.3689e+00 1.2263e+00 1.5140e+00 1.2422e+00 1.4863e+00 1.3380e+00 1.4307e+00 1.3112e+00 1.4276e+00
  70.5000 1.2669e+00 1.1335e+00 1.3989e+00 1.1484e+00 1.3740e+00 1.2370e+00 1.3225e+00 1.2133e+00 1.3205e+00
  71.5000 1.1721e+00 1.0493e+00 1.2954e+00 1.0630e+00 1.2721e+00 1.1454e+00 1.2247e+00 1.1227e+00 1.2216e+00
  72.5000 1.0867e+00 9.7231e-01 1.1998e+00 9.8509e-01 1.1783e+00 1.0619e+00 1.1351e+00 1.0403e+00 1.1320e+00
  73.5000 1.0076e+00 9.0173e-01 1.1131e+00 9.1351e-01 1.0928e+00 9.8447e-01 1.0527e+00 9.6501e-01 1.0506e+00
  74.5000 9.3545e-01 8.3695e-01 1.0333e+00 8.4790e-01 1.0146e+00 9.1392e-01 9.7737e-01 8.9579e-01 9.7500e-01
  75.5000 8.6911e-01 7.7761e-01 9.6001e-01 7.8774e-01 9.4255e-01 8.4913e-01 9.0805e-01 8.3234e-01 9.0589e-01
  76.5000 8.0814e-01 7.2305e-01 8.9268e-01 7.3243e-01 8.7643e-01 7.8970e-01 8.4439e-01 7.7394e-01 8.4233e-01
  77.5000 7.5211e-01 6.7282e-01 8.3072e-01 6.8155e-01 8.1555e-01 7.3490e-01 7.8589e-01 7.2028e-01 7.8393e-01
  78.5000 7.0050e-01 6.2657e-01 7.7365e-01 6.3469e-01 7.5952e-01 6.8454e-01 7.3192e-01 6.7084e-01 7.3017e-01
  79.5000 6.5302e-01 5.8394e-01 7.2108e-01 5.9153e-01 7.0792e-01 6.3809e-01 6.8227e-01 6.2531e-01 6.8062e-01
  80.5000 6.0914e-01 5.4472e-01 6.7261e-01 5.5177e-01 6.6033e-01 5.9534e-01 6.3644e-01 5.8329e-01 6.3489e-01
  81.5000 5.6866e-01 5.0854e-01 6.2797e-01 5.1510e-01 6.1645e-01 5.5579e-01 5.9421e-01 5.4456e-01 5.9276e-01
  82.5000 5.3127e-01 4.7497e-01 5.8663e-01 4.8111e-01 5.7587e-01 5.1922e-01 5.5517e-01 5.0872e-01 5.5373e-01
  83.5000 4.9667e-01 4.4403e-01 5.4836e-01 4.4980e-01 5.3828e-01 4.8534e-01 5.1902e-01 4.7555e-01 5.1768e-01
  84.5000 4.6463e-01 4.1541e-01 5.1305e-01 4.2076e-01 5.0357e-01 4.5413e-01 4.8554e-01 4.4496e-01 4.8441e-01
  85.5000 4.3507e-01 3.8880e-01 4.8025e-01 3.9387e-01 4.7143e-01 4.2508e-01 4.5454e-01 4.1653e-01 4.5351e-01
  86.5000 4.0757e-01 3.6422e-01 4.4997e-01 3.6895e-01 4.4166e-01 3.9820e-01 4.2591e-01 3.9027e-01 4.2488e-01
  87.5000 3.8203e-01 3.4133e-01 4.2178e-01 3.4577e-01 4.1396e-01 3.7327e-01 3.9923e-01 3.6575e-01 3.9830e-01
  88.5000 3.5834e-01 3.2018e-01 3.9565e-01 3.2435e-01 3.8831e-01 3.5010e-01 3.7451e-01 3.4309e-01 3.7358e-01
  89.5000 3.3630e-01 3.0048e-01 3.7134e-01 3.0436e-01 3.6441e-01 3.2867e-01 3.5154e-01 3.2198e-01 3.5061e-01
  90.5000 3.1590e-01 2.8216e-01 3.4871e-01 2.8582e-01 3.4227e-01 3.0869e-01 3.3011e-01 3.0241e-01 3.2929e-01
  91.5000 2.9685e-01 2.6508e-01 3.2768e-01 2.6852e-01 3.2157e-01 2.9005e-01 3.1024e-01 2.8418e-01 3.0951e-01
  92.5000 2.7913e-01 2.4930e-01 3.0816e-01 2.5256e-01 3.0241e-01 2.7274e-01 2.9180e-01 2.6718e-01 2.9097e-01
  93.5000 2.6255e-01 2.3447e-01 2.8994e-01 2.3752e-01 2.8449e-01 2.5657e-01 2.7450e-01 2.5132e-01 2.7377e-01
  94.5000 2.4720e-01 2.2072e-01 2.7295e-01 2.2361e-01 2.6780e-01 2.4153e-01 2.5843e-01 2.3659e-01 2.5781e-01
  95.5000 2.3278e-01 2.0787e-01 2.5710e-01 2.1053e-01 2.5225e-01 2.2753e-01 2.4339e-01 2.2289e-01 2.4277e-01
  96.5000 2.1939e-01 1.9586e-01 2.4219e-01 1.9838e-01 2.3762e-01 2.1445e-01 2.2938e-01 2.1002e-01 2.2876e-01
  97.5000 2.0682e-01 1.8466e-01 2.2837e-01 1.8705e-01 2.2403e-01 2.0219e-01 2.1630e-01 1.9797e-01 2.1568e-01
  98.5000 1.9508e-01 1.7418e-01 2.1549e-01 1.7644e-01 2.1136e-01 1.9065e-01 2.0404e-01 1.8674e-01 2.0353e-01
  99.5000 1.8416e-01 1.6439e-01 2.0339e-01 1.6655e-01 1.9951e-01 1.7994e-01 1.9261e-01 1.7623e-01 1.9210e-01
 100.5000 1.7386e-01 1.5519e-01 1.9208e-01 1.5718e-01 1.8839e-01 1.6995e-01 1.8190e-01 1.6645e-01 1.8138e-01
 101.5000 1.6429e-01 1.4660e-01 1.8145e-01 1.4853e-01 1.7798e-01 1.6058e-01 1.7180e-01 1.5718e-01 1.7139e-01
 102.5000 1.5532e-01 1.3859e-01 1.7148e-01 1.4039e-01 1.6820e-01 1.5182e-01 1.6243e-01 1.4863e-01 1.6202e-01
 103.5000 1.4688e-01 1.3104e-01 1.6215e-01 1.3277e-01 1.5903e-01 1.4358e-01 1.5357e-01 1.4049e-01 1.5326e-01
 104.5000 1.3895e-01 1.2390e-01 1.5342e-01 1.2556e-01 1.5048e-01 1.3575e-01 1.4533e-01 1.3287e-01 1.4492e-01
