# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = lepton (meson = 0.7 D0 + 0.3 D+). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# BR(meson->lepton) = 0.103
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  37.5000 3.1405e+01 2.6882e+01 3.6000e+01 2.8057e+01 3.4660e+01 3.0612e+01 3.2806e+01 2.8469e+01 3.4330e+01
  38.5000 2.7408e+01 2.3471e+01 3.1404e+01 2.4504e+01 3.0220e+01 2.6708e+01 2.8624e+01 2.4844e+01 2.9973e+01
  39.5000 2.3999e+01 2.0562e+01 2.7467e+01 2.1465e+01 2.6430e+01 2.3371e+01 2.5081e+01 2.1764e+01 2.6224e+01
  40.5000 2.1074e+01 1.8068e+01 2.4112e+01 1.8859e+01 2.3196e+01 2.0528e+01 2.2021e+01 1.9117e+01 2.3031e+01
  41.5000 1.8561e+01 1.5937e+01 2.1227e+01 1.6634e+01 2.0415e+01 1.8097e+01 1.9385e+01 1.6840e+01 2.0291e+01
  42.5000 1.6398e+01 1.4078e+01 1.8727e+01 1.4698e+01 1.8015e+01 1.5986e+01 1.7119e+01 1.4873e+01 1.7912e+01
  43.5000 1.4513e+01 1.2475e+01 1.6567e+01 1.3019e+01 1.5934e+01 1.4152e+01 1.5151e+01 1.3174e+01 1.5852e+01
  44.5000 1.2885e+01 1.1078e+01 1.4696e+01 1.1567e+01 1.4132e+01 1.2566e+01 1.3452e+01 1.1691e+01 1.4070e+01
  45.5000 1.1454e+01 9.8687e+00 1.3075e+01 1.0300e+01 1.2566e+01 1.1175e+01 1.1969e+01 1.0403e+01 1.2514e+01
  46.5000 1.0217e+01 8.8073e+00 1.1647e+01 9.1917e+00 1.1196e+01 9.9694e+00 1.0671e+01 9.2813e+00 1.1155e+01
