# FONLL heavy quark hadroproduction cross section, calculated on Tue Feb 21 21:27:56 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
9.2500 7.4048e+03 5.5543e+03 1.0118e+04 5.6242e+03 1.0064e+04 6.9259e+03 7.9206e+03 7.2483e+03 7.5614e+03
9.5000 6.8492e+03 5.1682e+03 9.3322e+03 5.2313e+03 9.2837e+03 6.4163e+03 7.3158e+03 6.7049e+03 6.9935e+03
9.7500 6.3426e+03 4.8118e+03 8.6116e+03 4.8690e+03 8.5684e+03 5.9497e+03 6.7632e+03 6.2106e+03 6.4746e+03
10.0000 5.8760e+03 4.4825e+03 7.9532e+03 4.5344e+03 7.9145e+03 5.5199e+03 6.2567e+03 5.7532e+03 5.9957e+03
10.2500 5.4492e+03 4.1797e+03 7.3534e+03 4.2274e+03 7.3189e+03 5.1238e+03 5.7931e+03 5.3357e+03 5.5598e+03
10.5000 5.0563e+03 3.8929e+03 6.8039e+03 3.9357e+03 6.7724e+03 4.7616e+03 5.3694e+03 4.9519e+03 5.1607e+03
10.7500 4.6971e+03 3.6236e+03 6.3005e+03 3.6625e+03 6.2720e+03 4.4269e+03 4.9826e+03 4.6019e+03 4.7923e+03
11.0000 4.3655e+03 3.3757e+03 5.8406e+03 3.4108e+03 5.8146e+03 4.1199e+03 4.6265e+03 4.2765e+03 4.4546e+03
11.2500 4.0616e+03 3.1487e+03 5.4173e+03 3.1805e+03 5.3940e+03 3.8375e+03 4.2980e+03 3.9787e+03 4.1445e+03
11.5000 3.7822e+03 2.9372e+03 5.0281e+03 2.9662e+03 5.0072e+03 3.5766e+03 3.9971e+03 3.7055e+03 3.8559e+03
11.7500 3.5244e+03 2.7434e+03 4.6732e+03 2.7694e+03 4.6541e+03 3.3371e+03 3.7208e+03 3.4538e+03 3.5950e+03
12.0000 3.2849e+03 2.5639e+03 4.3464e+03 2.5877e+03 4.3287e+03 3.1130e+03 3.4660e+03 3.2204e+03 3.3524e+03
12.2500 3.0666e+03 2.3981e+03 4.0440e+03 2.4198e+03 4.0278e+03 2.9094e+03 3.2327e+03 3.0055e+03 3.1283e+03
12.5000 2.8640e+03 2.2445e+03 3.7662e+03 2.2641e+03 3.7515e+03 2.7200e+03 3.0157e+03 2.8072e+03 2.9208e+03
12.7500 2.6770e+03 2.1025e+03 3.5101e+03 2.1204e+03 3.4967e+03 2.5447e+03 2.8161e+03 2.6242e+03 2.7302e+03
13.0000 2.5042e+03 1.9704e+03 3.2756e+03 1.9869e+03 3.2634e+03 2.3823e+03 2.6316e+03 2.4548e+03 2.5536e+03
13.2500 2.3439e+03 1.8482e+03 3.0588e+03 1.8632e+03 3.0476e+03 2.2319e+03 2.4612e+03 2.2979e+03 2.3903e+03
13.5000 2.1957e+03 1.7349e+03 2.8580e+03 1.7487e+03 2.8477e+03 2.0925e+03 2.3037e+03 2.1527e+03 2.2389e+03
13.7500 2.0584e+03 1.6295e+03 2.6723e+03 1.6421e+03 2.6629e+03 1.9633e+03 2.1576e+03 2.0179e+03 2.0987e+03
14.0000 1.9310e+03 1.5313e+03 2.5005e+03 1.5430e+03 2.4919e+03 1.8429e+03 2.0222e+03 1.8930e+03 1.9688e+03
14.2500 1.8125e+03 1.4402e+03 2.3418e+03 1.4509e+03 2.3338e+03 1.7315e+03 1.8970e+03 1.7772e+03 1.8478e+03
14.5000 1.7026e+03 1.3554e+03 2.1944e+03 1.3652e+03 2.1871e+03 1.6277e+03 1.7803e+03 1.6695e+03 1.7358e+03
14.7500 1.6004e+03 1.2763e+03 2.0578e+03 1.2854e+03 2.0511e+03 1.5310e+03 1.6722e+03 1.5691e+03 1.6314e+03
15.0000 1.5052e+03 1.2025e+03 1.9311e+03 1.2108e+03 1.9249e+03 1.4411e+03 1.5715e+03 1.4761e+03 1.5344e+03
15.2500 1.4168e+03 1.1337e+03 1.8134e+03 1.1414e+03 1.8076e+03 1.3572e+03 1.4782e+03 1.3892e+03 1.4441e+03
15.5000 1.3342e+03 1.0695e+03 1.7039e+03 1.0767e+03 1.6986e+03 1.2790e+03 1.3910e+03 1.3081e+03 1.3600e+03
15.7500 1.2572e+03 1.0097e+03 1.6023e+03 1.0162e+03 1.5973e+03 1.2062e+03 1.3100e+03 1.2329e+03 1.2817e+03
16.0000 1.1853e+03 9.5367e+02 1.5074e+03 9.5968e+02 1.5028e+03 1.1380e+03 1.2345e+03 1.1626e+03 1.2083e+03
16.2500 1.1184e+03 9.0101e+02 1.4192e+03 9.0657e+02 1.4150e+03 1.0745e+03 1.1638e+03 1.0969e+03 1.1402e+03
16.5000 1.0558e+03 8.5198e+02 1.3369e+03 8.5714e+02 1.3330e+03 1.0149e+03 1.0978e+03 1.0355e+03 1.0763e+03
16.7500 9.9744e+02 8.0590e+02 1.2602e+03 8.1079e+02 1.2565e+03 9.5907e+02 1.0364e+03 9.7810e+02 1.0165e+03
17.0000 9.4249e+02 7.6300e+02 1.1888e+03 7.6750e+02 1.1853e+03 9.0688e+02 9.7902e+02 9.2438e+02 9.6091e+02
17.2500 8.9122e+02 7.2248e+02 1.1218e+03 7.2667e+02 1.1187e+03 8.5807e+02 9.2499e+02 8.7403e+02 9.0841e+02
17.5000 8.4333e+02 6.8466e+02 1.0593e+03 6.8860e+02 1.0564e+03 8.1232e+02 8.7464e+02 8.2675e+02 8.5960e+02
17.7500 7.9820e+02 6.4906e+02 1.0008e+03 6.5268e+02 9.9806e+02 7.6934e+02 8.2767e+02 7.8285e+02 8.1355e+02
18.0000 7.5583e+02 6.1559e+02 9.4596e+02 6.1891e+02 9.4341e+02 7.2912e+02 7.8316e+02 7.4140e+02 7.7057e+02
18.2500 7.1623e+02 5.8419e+02 8.9482e+02 5.8729e+02 8.9245e+02 6.9136e+02 7.4171e+02 7.0242e+02 7.3005e+02
18.5000 6.7908e+02 5.5459e+02 8.4680e+02 5.5751e+02 8.4456e+02 6.5575e+02 7.0303e+02 6.6588e+02 6.9228e+02
18.7500 6.4409e+02 5.2687e+02 8.0184e+02 5.2958e+02 7.9974e+02 6.2229e+02 6.6650e+02 6.3181e+02 6.5667e+02
19.0000 6.1124e+02 5.0067e+02 7.5964e+02 5.0317e+02 7.5768e+02 5.9098e+02 6.3211e+02 5.9957e+02 6.2321e+02
19.2500 5.8054e+02 4.7587e+02 7.1987e+02 4.7831e+02 7.1807e+02 5.6120e+02 5.9988e+02 5.6918e+02 5.9159e+02
19.5000 5.5137e+02 4.5240e+02 6.8263e+02 4.5467e+02 6.8093e+02 5.3326e+02 5.6949e+02 5.4063e+02 5.6212e+02
19.7500 5.2405e+02 4.3077e+02 6.4751e+02 4.3287e+02 6.4593e+02 5.0716e+02 5.4093e+02 5.1392e+02 5.3418e+02
20.0000 4.9826e+02 4.0998e+02 6.1488e+02 4.1199e+02 6.1339e+02 4.8230e+02 5.1423e+02 4.8844e+02 5.0778e+02
20.2500 4.7370e+02 3.9051e+02 5.8380e+02 3.9235e+02 5.8238e+02 4.5897e+02 4.8874e+02 4.6449e+02 4.8291e+02
20.5000 4.5098e+02 3.7184e+02 5.5450e+02 3.7362e+02 5.5321e+02 4.3686e+02 4.6480e+02 4.4208e+02 4.5958e+02
20.7500 4.2919e+02 3.5453e+02 5.2714e+02 3.5612e+02 5.2589e+02 4.1629e+02 4.4239e+02 4.2090e+02 4.3748e+02
21.0000 4.0892e+02 3.3801e+02 5.0127e+02 3.3954e+02 5.0010e+02 3.9664e+02 4.2120e+02 4.0094e+02 4.1691e+02
21.2500 3.8958e+02 3.2242e+02 4.7695e+02 3.2388e+02 4.7585e+02 3.7792e+02 4.0125e+02 3.8191e+02 3.9695e+02
21.5000 3.7116e+02 3.0783e+02 4.5390e+02 3.0915e+02 4.5282e+02 3.6042e+02 3.8222e+02 3.6410e+02 3.7853e+02
21.7500 3.5397e+02 2.9378e+02 4.3235e+02 2.9503e+02 4.3133e+02 3.4384e+02 3.6441e+02 3.4722e+02 3.6103e+02
22.0000 3.3770e+02 2.8057e+02 4.1173e+02 2.8173e+02 4.1077e+02 3.2818e+02 3.4752e+02 3.3125e+02 3.4445e+02
22.2500 3.2235e+02 2.6797e+02 3.9227e+02 2.6915e+02 3.9143e+02 3.1314e+02 3.3125e+02 3.1590e+02 3.2849e+02
22.5000 3.0761e+02 2.5617e+02 3.7416e+02 2.5720e+02 3.7331e+02 2.9920e+02 3.1621e+02 3.0172e+02 3.1375e+02
22.7500 2.9389e+02 2.4487e+02 3.5690e+02 2.4588e+02 3.5612e+02 2.8585e+02 3.0193e+02 2.8815e+02 2.9960e+02
23.0000 2.8078e+02 2.3421e+02 3.4028e+02 2.3516e+02 3.3954e+02 2.7320e+02 2.8837e+02 2.7529e+02 2.8625e+02
23.2500 2.6835e+02 2.2407e+02 3.2489e+02 2.2497e+02 3.2419e+02 2.6120e+02 2.7550e+02 2.6310e+02 2.7360e+02
23.5000 2.5656e+02 2.1442e+02 3.1043e+02 2.1527e+02 3.0976e+02 2.4981e+02 2.6331e+02 2.5156e+02 2.6160e+02
23.7500 2.4538e+02 2.0529e+02 2.9639e+02 2.0609e+02 2.9576e+02 2.3903e+02 2.5174e+02 2.4060e+02 2.5020e+02
24.0000 2.3479e+02 1.9661e+02 2.8322e+02 1.9737e+02 2.8262e+02 2.2875e+02 2.4078e+02 2.3019e+02 2.3940e+02
24.2500 2.2472e+02 1.8833e+02 2.7072e+02 1.8905e+02 2.7016e+02 2.1901e+02 2.3040e+02 2.2030e+02 2.2911e+02
24.5000 2.1515e+02 1.8051e+02 2.5888e+02 1.8119e+02 2.5834e+02 2.0977e+02 2.2052e+02 2.1094e+02 2.1938e+02
24.7500 2.0606e+02 1.7302e+02 2.4764e+02 1.7367e+02 2.4713e+02 2.0096e+02 2.1112e+02 2.0201e+02 2.1011e+02
25.0000 1.9743e+02 1.6590e+02 2.3699e+02 1.6652e+02 2.3651e+02 1.9258e+02 2.0222e+02 1.9353e+02 2.0130e+02
25.2500 1.8920e+02 1.5915e+02 2.2684e+02 1.5973e+02 2.2638e+02 1.8463e+02 1.9375e+02 1.8549e+02 1.9292e+02
25.5000 1.8138e+02 1.5270e+02 2.1724e+02 1.5325e+02 2.1680e+02 1.7705e+02 1.8567e+02 1.7781e+02 1.8497e+02
25.7500 1.7395e+02 1.4655e+02 2.0807e+02 1.4708e+02 2.0766e+02 1.6983e+02 1.7800e+02 1.7051e+02 1.7735e+02
26.0000 1.6686e+02 1.4072e+02 1.9940e+02 1.4122e+02 1.9900e+02 1.6296e+02 1.7072e+02 1.6357e+02 1.7014e+02
26.2500 1.6010e+02 1.3513e+02 1.9112e+02 1.3560e+02 1.9074e+02 1.5642e+02 1.6375e+02 1.5697e+02 1.6326e+02
26.5000 1.5368e+02 1.2981e+02 1.8324e+02 1.3026e+02 1.8288e+02 1.5018e+02 1.5715e+02 1.5065e+02 1.5672e+02
26.7500 1.4754e+02 1.2473e+02 1.7577e+02 1.2516e+02 1.7542e+02 1.4423e+02 1.5086e+02 1.4463e+02 1.5046e+02
27.0000 1.4171e+02 1.1991e+02 1.6863e+02 1.2031e+02 1.6830e+02 1.3858e+02 1.4484e+02 1.3892e+02 1.4454e+02
27.2500 1.3615e+02 1.1528e+02 1.6183e+02 1.1568e+02 1.6151e+02 1.3315e+02 1.3913e+02 1.3345e+02 1.3886e+02
27.5000 1.3084e+02 1.1085e+02 1.5537e+02 1.1123e+02 1.5507e+02 1.2799e+02 1.3367e+02 1.2823e+02 1.3342e+02
27.7500 1.2578e+02 1.0666e+02 1.4918e+02 1.0702e+02 1.4890e+02 1.2305e+02 1.2845e+02 1.2326e+02 1.2826e+02
28.0000 1.2093e+02 1.0263e+02 1.4331e+02 1.0297e+02 1.4303e+02 1.1835e+02 1.2347e+02 1.1853e+02 1.2332e+02
28.2500 1.1629e+02 9.8777e+01 1.3768e+02 9.9100e+01 1.3741e+02 1.1387e+02 1.1872e+02 1.1399e+02 1.1862e+02
28.5000 1.1190e+02 9.5101e+01 1.3232e+02 9.5416e+01 1.3207e+02 1.0957e+02 1.1417e+02 1.0966e+02 1.1411e+02
28.7500 1.0767e+02 9.1557e+01 1.2722e+02 9.1854e+01 1.2697e+02 1.0545e+02 1.0984e+02 1.0552e+02 1.0981e+02
29.0000 1.0364e+02 8.8189e+01 1.2236e+02 8.8477e+01 1.2212e+02 1.0153e+02 1.0573e+02 1.0156e+02 1.0570e+02
29.2500 9.9775e+01 8.4982e+01 1.1768e+02 8.5254e+01 1.1746e+02 9.7779e+01 1.0177e+02 9.7779e+01 1.0177e+02
29.5000 9.6091e+01 8.1896e+01 1.1322e+02 8.2153e+01 1.1301e+02 9.4188e+01 9.7964e+01 9.4188e+01 9.8025e+01
