{6, 1.4868535670734269, 1.559387457975374, 1.631921348877321}
{8, 0.720213631426259, 0.7536561992704128, 0.7870987671145666}
{10, 0.3570725046516018, 0.3732339839138855, 0.38939546317616924}
{12, 0.18198618764659208, 0.19025538775015766, 0.19852458785372323}
{14, 0.09606194739545404, 0.10056155623622051, 0.10506116507698698}
{16, 0.053463724075115515, 0.05608748035571148, 0.05871123663630745}
{18, 0.03120181513554275, 0.03282421010202498, 0.034446605068507205}
{20, 0.018918382644666047, 0.01996529600547669, 0.02101220936628733}
{22, 0.01187678796523603, 0.012575805830141737, 0.013274823695047448}
{24, 0.007712053944692842, 0.008192962785826721, 0.0086738716269606}
{26, 0.005171309547122459, 0.005512078517365348, 0.005852847487608235}
{28, 0.003565662357614328, 0.00381299862411325, 0.004060334890612172}
{30, 0.002514386816470014, 0.0026972253175847945, 0.0028800638186995747}
{32, 0.001808121727493297, 0.0019452367889712051, 0.002082351850449113}
{34, 0.0013249926401059189, 0.0014292863084953557, 0.001533579976884792}
{36, 0.0009878202217420452, 0.0010681828596196907, 0.001148545497497336}
{38, 0.0007480124295012633, 0.0008106772442472858, 0.0008733420589933084}
{40, 0.0005743816435101508, 0.0006237882889778804, 0.0006731949344456099}
{42, 0.0004465723178611327, 0.0004859223911189915, 0.0005252724643768501}
{44, 0.00035137570316359654, 0.00038301259170905134, 0.00041464948025450615}
{46, 0.0002794737343619958, 0.00030513077546229716, 0.00033078781656259855}
{48, 0.00022438065398917197, 0.00024535242696585796, 0.00026632419994254404}
{50, 0.00018167678869157692, 0.00019893319871687305, 0.00021618960874216918}
{52, 0.00014823727061254378, 0.00016252715615614524, 0.00017681704169974667}
{54, 0.00012189669901056539, 0.0001338058732828808, 0.0001457150475551962}
{56, 0.00010097098204638974, 0.00011095590213329635, 0.00012094082222020296}
{58, 0.00008420991422936954, 0.00009262909561730467, 0.00010104827700523979}
{60, 0.0000706738988843651, 0.00007781075064759889, 0.00008494760241083268}
{62, 0.000059650073344829437, 0.00006572971778209455, 0.00007180936221935965}
{64, 0.00005060025102643817, 0.00005580245391471919, 0.00006100465680300021}
{66, 0.00004310722697810903, 0.00004757673172614201, 0.00005204623647417499}
{68, 0.00003685991638457897, 0.000040711846790182865, 0.00004456377719578676}
{70, 0.00003163700305538629, 0.00003496656903609932, 0.00003829613501681233}
{72, 0.000027244319468398715, 0.00003013020723686612, 0.000033016095005333526}
{74, 0.000023553792687425746, 0.000026063338053029184, 0.000028572883418632623}
{76, 0.000020445452115620036, 0.00002263491177931735, 0.00002482437144301467}
{78, 0.000017816817692230116, 0.000019734372269722675, 0.000021651926847215235}
{80, 0.000015579570024758285, 0.00001726454774362614, 0.000018949525462493993}
{82, 0.000013669021913697823, 0.00001515461860355288, 0.000016640215293407932}
{84, 0.000012024282150270343, 0.000013337610921704062, 0.000014650939693137781}
{86, 0.000010602153291613874, 0.000011765960504917415, 0.000012929767718220955}
{88, 9.36724684251596*^-6, 0.000010400014089789916, 0.000011432781337063876}
{90, 8.295388564151752*^-6, 9.21373496961527*^-6, 0.000010132081375078788}
{92, 7.359856130484582*^-6, 8.17771379258869*^-6, 8.995571454692802*^-6}
{94, 6.5446820727535395*^-6, 7.2745014798474755*^-6, 8.00432088694141*^-6}
{96, 5.833197054774371*^-6, 6.4857749359865995*^-6, 7.138352817198828*^-6}
{98, 5.2111881230358875*^-6, 5.795899328274179*^-6, 6.380610533512469*^-6}
{100, 4.66651690187802*^-6, 5.19151237073582*^-6, 5.716507839593619*^-6}
{102, 4.1888004469499345*^-6, 4.66117640641542*^-6, 5.1335523658809085*^-6}
{104, 3.769143854756664*^-6, 4.195086581599913*^-6, 4.621029308443162*^-6}
{106, 3.3999157547812503*^-6, 3.78482556416582*^-6, 4.169735373550389*^-6}
{108, 3.0745594321359793*^-6, 3.4231569877313685*^-6, 3.7717545433267565*^-6}
{110, 2.7874336316568075*^-6, 3.103851196450036*^-6, 3.4202687612432634*^-6}
{112, 2.533678146564346*^-6, 2.8215379928840946*^-6, 3.1093978392038437*^-6}
{114, 2.309100148403297*^-6, 2.571582008093958*^-6, 2.834063867784619*^-6}
{116, 2.110077910331575*^-6, 2.349977061329199*^-6, 2.589876212326823*^-6}
{118, 1.933479144467155*^-6, 2.1532564897213606*^-6, 2.3730338349755656*^-6}
{120, 1.7765916406502011*^-6, 1.978416932301899*^-6, 2.1802422239535967*^-6}
